kategorie,frage,option_1,option_2,option_3,option_4,richtige_antwort,erklaerung
PC Grundlagen,Was bedeutet die Abkürzung CPU?,Central Processing Unit,Central Power Unit,Computer Personal Unit,Central Processor Unit,Central Processing Unit,Die CPU ist das zentrale Rechenelement eines Computers.
PC Grundlagen,Was ist RAM?,Readily Accessible Memory,Random Access Memory,Read-Only Memory,Remote Access Memory,Random Access Memory,RAM ist der flüchtige Speicher eines Computers der schnell Daten speichern und abrufen kann.
PC Grundlagen,Welches dieser Geräte ist ein Eingabegerät?,Drucker,Monitor,Maus,Lautsprecher,Maus,Die Maus ist ein Gerät mit dem Benutzer Daten in den Computer eingeben können.
PC Grundlagen,Was ist die Hauptaufgabe eines Betriebssystems?,Hardware reparieren,Software verkaufen,Hardware verwalten,Software entwickeln,Hardware verwalten,Das Betriebssystem verwaltet die Hardware und bietet grundlegende Dienste für Computerprogramme.
PC Grundlagen,Welche Speicherart ist flüchtig?,ROM,SSD,Harddisk,RAM,RAM,RAM verliert seine gespeicherten Daten wenn der Computer ausgeschaltet wird.
PC Grundlagen,Welche Schnittstelle wird hauptsächlich für Monitore verwendet?,USB,HDMI,Ethernet,VGA,HDMI,HDMI ist eine weit verbreitete Schnittstelle für die Übertragung von Video- und Audiosignalen.
PC Grundlagen,Welcher Dateityp ist eine ausführbare Datei?,.docx,.exe,.mp3,.jpg,.exe,Dateien mit der Endung .exe sind ausführbare Dateien die Programme starten.
PC Grundlagen,Was ist eine IP-Adresse?,Ein Netzwerkprotokoll,Eine Hardwarekomponente,Eine eindeutige Netzwerkadresse,Ein Speichermodul,Eine eindeutige Netzwerkadresse,Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.
PC Grundlagen,Was bedeutet BIOS?,Basic Input Output System,Binary Input Output System,Basic Information Output System,Best Integrated Operating System,Basic Input Output System,Das BIOS ist die Firmware die den Startvorgang eines Computers steuert.
PC Grundlagen,Welcher Speicher ist nicht flüchtig?,RAM,Cache,ROM,Register,ROM,ROM speichert Daten dauerhaft auch wenn der Computer ausgeschaltet ist.
PC Grundlagen,Was ist eine Firewall?,Ein Speichergerät,Ein Drucker,Eine Sicherheitsmaßnahme,Ein Netzwerkkabel,Eine Sicherheitsmaßnahme,Eine Firewall schützt ein Netzwerk vor unautorisierten Zugriffen.
PC Grundlagen,Welche der folgenden ist keine Programmiersprache?,Python,HTML,Java,C++,HTML,HTML ist eine Markup-Sprache zur Strukturierung von Webseiten keine Programmiersprache.
PC Grundlagen,Was bedeutet URL?,Universal Resource Locator,Uniform Resource Locator,Uniform Resource Link,Universal Resource Link,Uniform Resource Locator,Eine URL ist die Adresse einer Ressource im Internet.
PC Grundlagen,Was ist ein Byte?,Eine Einheit für die Bildschirmauflösung,Eine Speichereinheit,Ein Programm,Ein Fehlercode,Eine Speichereinheit,Ein Byte besteht aus 8 Bits und ist eine grundlegende Maßeinheit für digitale Informationen.
PC Grundlagen,Welches der folgenden ist ein Betriebssystem?,Microsoft Office,Adobe Photoshop,Linux,Java,Linux,Linux ist ein weit verbreitetes Open-Source-Betriebssystem.
PC Grundlagen,Was ist die Hauptfunktion einer Festplatte?,Programme ausführen,Daten speichern,Netzwerkverbindungen verwalten,Druckaufträge verwalten,Daten speichern,Eine Festplatte speichert dauerhaft Daten und Programme.
PC Grundlagen,Was ist ein Trojaner?,Eine Art von Software,Ein schädliches Programm,Ein Hardwarefehler,Ein Netzwerkprotokoll,Ein schädliches Programm,Ein Trojaner ist eine Art von Malware die sich als nützliches Programm tarnt.
PC Grundlagen,Welcher der folgenden Begriffe bezieht sich auf die Auflösung eines Bildschirms?,MHz,Hz,DPI,PPP,DPI,DPI steht für Dots Per Inch und bezieht sich auf die Auflösung eines Bildschirms oder Druckers.
PC Grundlagen,Was ist der Zweck eines Switches in einem Netzwerk?,Datenpakete analysieren,Datenpakete weiterleiten,Daten verschlüsseln,Daten speichern,Datenpakete weiterleiten,Ein Switch leitet Datenpakete innerhalb eines Netzwerks weiter.
PC Grundlagen,Welches dieser Geräte ist ein Ausgabegerät?,Tastatur,Scanner,Mikrofon,Monitor,Monitor,Ein Monitor zeigt visuelle Informationen an und ist daher ein Ausgabegerät.
PC Grundlagen,Welches Protokoll wird für sichere Webkommunikation verwendet?,HTTP,FTP,SMTP,HTTPS,HTTPS,HTTPS ist die sichere Version von HTTP und wird für sichere Kommunikation über das Internet verwendet.
PC Grundlagen,Was ist ein Modem?,Ein Gerät zur Verarbeitung von Texten,Ein Gerät zur Steuerung des Bildschirms,Ein Gerät zur Verbindung mit dem Internet,Ein Gerät zur Speicherung von Daten,Ein Gerät zur Verbindung mit dem Internet,Ein Modem moduliert und demoduliert Signale für die Kommunikation über Telefonleitungen.
PC Grundlagen,Was bedeutet SSD?,Solid State Drive,Secure Storage Device,Simple Storage Device,Safe Storage Drive,Solid State Drive,Eine SSD ist ein Speichergerät das Flash-Speicher zur Speicherung von Daten verwendet.
PC Grundlagen,Welcher der folgenden Speicher hat die höchste Geschwindigkeit?,Festplatte,DVD,RAM,USB-Stick,RAM,RAM ist der schnellste Speicher da er direkt mit der CPU verbunden ist.
PC Grundlagen,Was ist ein Router?,Ein Speichergerät,Ein Netzwerkgerät,Ein Anzeigegerät,Ein Eingabegerät,Ein Netzwerkgerät,Ein Router leitet Datenpakete zwischen verschiedenen Netzwerken weiter.
PC Grundlagen,Was ist ein Proxy-Server?,Ein Webserver,Ein E-Mail-Server,Ein Vermittlungsserver,Ein Datenbankserver,Ein Vermittlungsserver,Ein Proxy-Server agiert als Vermittler zwischen einem Client und einem Zielserver.
PC Grundlagen,Was bedeutet HTTP?,HyperText Transfer Protocol,HyperText Transmission Protocol,HighText Transfer Protocol,HighText Transmission Protocol,HyperText Transfer Protocol,HTTP ist das Protokoll für die Übertragung von Webseiten über das Internet.
PC Grundlagen,Was ist ein VPN?,Virtual Private Network,Very Personal Network,Virtual Public Network,Very Private Network,Virtual Private Network,Ein VPN ermöglicht eine sichere Verbindung über ein öffentliches Netzwerk.
PC Grundlagen,Was bedeutet GUI?,Graphic User Interface,General User Interface,Graphical User Interface,General Utility Interface,Graphical User Interface,Eine GUI ermöglicht Benutzern die Interaktion mit dem Computer über grafische Symbole.
PC Grundlagen,Was ist ein Motherboard?,Eine Art von Speichergerät,Die Hauptplatine eines Computers,Ein Softwareprogramm,Ein Netzwerkprotokoll,Die Hauptplatine eines Computers,Das Motherboard ist die zentrale Platine die alle Komponenten eines Computers verbindet.
PC Grundlagen,Was ist die Aufgabe eines Treibers?,Daten speichern,Netzwerkverbindungen herstellen,Hardware steuern,Software entwickeln,Hardware steuern,Ein Treiber ist eine Software die es dem Betriebssystem ermöglicht mit Hardwaregeräten zu kommunizieren.
PC Grundlagen,Welcher Dateityp wird für komprimierte Dateien verwendet?,.txt,.exe,.zip,.jpg,.zip,Dateien mit der Endung .zip sind komprimierte Dateien die weniger Speicherplatz benötigen.
PC Grundlagen,Was ist ein Bit?,Eine Speichereinheit,Eine Programmeinheit,Eine Binäreinheit,Eine Fehlercode-Einheit,Eine Binäreinheit,Ein Bit ist die kleinste Einheit digitaler Information und kann entweder den Wert 0 oder 1 haben.
PC Grundlagen,Welches Gerät verwendet ein Betriebssystem?,Drucker,Monitor,Computer,Scanner,Computer,Ein Computer benötigt ein Betriebssystem um zu funktionieren.
PC Grundlagen,Was ist der Zweck einer Antiviren-Software?,Dateien komprimieren,Netzwerkverbindungen verwalten,Den Computer vor Malware schützen,Hardware reparieren,Den Computer vor Malware schützen,Antiviren-Software erkennt und entfernt schädliche Programme.
PC Grundlagen,Was ist die Hauptaufgabe einer GPU?,Audio verarbeiten,Bilder verarbeiten,Daten speichern,Druckaufträge verwalten,Bilder verarbeiten,Die GPU (Graphics Processing Unit) ist für die Verarbeitung von Grafikdaten verantwortlich.
PC Grundlagen,Was bedeutet LAN?,Local Area Network,Long Area Network,Large Area Network,Local Access Network,Local Area Network,Ein LAN ist ein Netzwerk das Geräte in einem begrenzten geografischen Bereich verbindet.
PC Grundlagen,Was ist ein Cookie im Internet?,Ein Textdokument,Ein kleines Datenpaket,Ein Bildformat,Ein Programmcode,Ein kleines Datenpaket,Ein Cookie speichert Informationen über Benutzeraktivitäten auf Webseiten.
PC Grundlagen,Was ist die Aufgabe eines BIOS?,Das Betriebssystem laden,Daten speichern,Druckaufträge verwalten,Netzwerkverbindungen herstellen,Das Betriebssystem laden,Das BIOS startet den Computer und lädt das Betriebssystem.
PC Grundlagen,Welches der folgenden ist ein Textverarbeitungsprogramm?,Mozilla Firefox,Microsoft Word,Adobe Photoshop,Google Chrome,Microsoft Word,Microsoft Word ist ein weit verbreitetes Textverarbeitungsprogramm.
PC Grundlagen,Was ist ein VPN?,Ein Hardwaregerät,Ein Sicherheitsprotokoll,Eine Netzwerkverbindung,Ein Speicherformat,Eine Netzwerkverbindung,Ein VPN ermöglicht eine sichere Verbindung über ein öffentliches Netzwerk.
PC Grundlagen,Was ist die Aufgabe eines Netzteils?,Die CPU steuern,Daten speichern,Den Computer mit Strom versorgen,Software ausführen,Den Computer mit Strom versorgen,Das Netzteil wandelt Strom aus der Steckdose in nutzbare Energie für den Computer um.
PC Grundlagen,Welcher dieser Begriffe ist eine Programmiersprache?,HTML,HTTP,FTP,Python,Python,Python ist eine weit verbreitete Programmiersprache.
